x_value,total_1,total_2
0,1000,1000
1,1003,1003
2,1011,999
3,1005,1002
4,1007,1001
5,1012,1003
6,1016,999
7,1012,998
8,1012,995
9,1014,1001
10,1022,1003
11,1018,1005
12,1014,1003
13,1014,1001
14,1021,998
15,1023,998
16,1021,999
17,1016,998
18,1015,1004
19,1021,1006
20,1015,1007
21,1012,1012
22,1010,1016
23,1010,1020
24,1012,1023
25,1016,1025
26,1011,1026
27,1015,1026
28,1013,1021
29,1012,1016
30,1018,1017
31,1018,1017
32,1018,1020
33,1013,1018
34,1016,1015
35,1012,1010
36,1019,1008
37,1016,1009
38,1018,1015
39,1018,1016
40,1015,1012
41,1020,1012
42,1017,1007
43,1022,1004
44,1018,1007
45,1014,1013
46,1020,1016
47,1015,1011
48,1014,1014
49,1014,1009
50,1016,1013
51,1021,1017
52,1023,1021
53,1021,1021
54,1028,1022
55,1022,1022
56,1017,1018
57,1014,1016
58,1017,1015
59,1020,1016
60,1022,1012
61,1026,1017
62,1030,1022
63,1025,1022
64,1026,1026
65,1030,1025
66,1035,1026
67,1036,1024
68,1035,1021
69,1042,1024
70,1049,1030
71,1048,1025
72,1043,1020
73,1044,1021
74,1039,1023
75,1034,1026
76,1031,1026
77,1033,1023
78,1034,1021
79,1032,1018
80,1029,1019
81,1034,1025
82,1033,1021
83,1031,1021
84,1030,1021
85,1032,1022
86,1035,1026
87,1032,1031
88,1039,1034
89,1041,1035
90,1047,1030
91,1041,1030
92,1046,1032
93,1045,1035
94,1041,1035
95,1044,1036
96,1047,1034
97,1047,1037
98,1041,1035
99,1042,1040
100,1042,1045
101,1050,1040
102,1051,1035
103,1054,1035
104,1053,1040
105,1049,1035
106,1054,1039
107,1062,1045
108,1066,1042
109,1063,1047
110,1058,1043
111,1060,1045
112,1056,1043
113,1057,1049
114,1059,1055
115,1055,1050
116,1051,1050
117,1058,1054
118,1061,1049
119,1055,1050
120,1062,1045
121,1068,1046
122,1069,1045
123,1065,1041
124,1060,1037
125,1068,1043
126,1064,1047
127,1060,1053
128,1058,1052
129,1052,1054
130,1050,1059
131,1055,1058
132,1062,1055
133,1070,1058
134,1065,1060
135,1061,1066
136,1068,1063
137,1072,1061
138,1074,1064
139,1077,1062
140,1072,1065
141,1073,1069
142,1067,1073
143,1069,1077
144,1076,1082
145,1079,1078
